id,name,input,compiler,threads,real,usr,sys,cores
184,ferret,simlarge,gcc-pthreads,2,0m3.033s,0m6.313s,0m0.114s,4
185,ferret,native,gcc-pthreads,2,4m47.215,6m32.258,0m2.476s,4
186,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.029s,0m0.005s,5
187,ferret,simsmall,gcc-pthreads,2,0m0.282s,0m0.368s,0m0.018s,5
188,ferret,simmedium,gcc-pthreads,2,0m0.756s,0m1.269s,0m0.040s,5
189,ferret,simlarge,gcc-pthreads,2,0m3.044s,0m6.622s,0m0.138s,5
190,ferret,native,gcc-pthreads,2,4m51.303,6m24.401,0m2.010s,5
191,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.028s,0m0.006s,6
192,ferret,simsmall,gcc-pthreads,2,0m0.271s,0m0.362s,0m0.013s,6
193,ferret,simmedium,gcc-pthreads,2,0m0.748s,0m1.229s,0m0.044s,6
194,ferret,simlarge,gcc-pthreads,2,0m3.102s,0m6.596s,0m0.177s,6
195,ferret,native,gcc-pthreads,2,4m52.097,6m32.670,0m2.579s,6
196,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.027s,0m0.006s,7
197,ferret,simsmall,gcc-pthreads,2,0m0.283s,0m0.362s,0m0.024s,7
198,ferret,simmedium,gcc-pthreads,2,0m0.794s,0m1.335s,0m0.037s,7
199,ferret,simlarge,gcc-pthreads,2,0m3.046s,0m6.354s,0m0.132s,7
200,ferret,native,gcc-pthreads,2,4m47.520,6m37.429,0m2.638s,7
201,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.027s,0m0.006s,8
202,ferret,simsmall,gcc-pthreads,2,0m0.258s,0m0.335s,0m0.021s,8
203,ferret,simmedium,gcc-pthreads,2,0m0.784s,0m1.287s,0m0.042s,8
204,ferret,simlarge,gcc-pthreads,2,0m3.107s,0m6.433s,0m0.138s,8
205,ferret,native,gcc-pthreads,2,4m53.532,6m26.804,0m1.966s,8
206,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.029s,0m0.005s,9
207,ferret,simsmall,gcc-pthreads,2,0m0.285s,0m0.367s,0m0.019s,9
208,ferret,simmedium,gcc-pthreads,2,0m0.747s,0m1.226s,0m0.037s,9
209,ferret,simlarge,gcc-pthreads,2,0m3.057s,0m6.310s,0m0.168s,9
210,ferret,native,gcc-pthreads,2,4m53.427,6m24.920,0m2.409s,9
211,ferret,simdev,gcc-pthreads,2,0m0.021s,0m0.026s,0m0.006s,10
212,ferret,simsmall,gcc-pthreads,2,0m0.262s,0m0.347s,0m0.015s,10
213,ferret,simmedium,gcc-pthreads,2,0m0.777s,0m1.239s,0m0.049s,10
214,ferret,simlarge,gcc-pthreads,2,0m3.119s,0m6.697s,0m0.156s,10
215,ferret,native,gcc-pthreads,2,4m45.001,6m18.940,0m2.267s,10
216,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.026s,0m0.009s,11
217,ferret,simsmall,gcc-pthreads,2,0m0.281s,0m0.374s,0m0.011s,11
218,ferret,simmedium,gcc-pthreads,2,0m0.779s,0m1.267s,0m0.059s,11
219,ferret,simlarge,gcc-pthreads,2,0m3.041s,0m6.446s,0m0.135s,11
220,ferret,native,gcc-pthreads,2,4m44.115,6m10.699,0m1.977s,11
221,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.025s,0m0.009s,12
222,ferret,simsmall,gcc-pthreads,2,0m0.267s,0m0.350s,0m0.017s,12
223,ferret,simmedium,gcc-pthreads,2,0m0.770s,0m1.276s,0m0.055s,12
224,ferret,simlarge,gcc-pthreads,2,0m3.062s,0m6.580s,0m0.128s,12
225,ferret,native,gcc-pthreads,2,4m43.293,6m14.836,0m1.972s,12
226,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.027s,0m0.007s,13
227,ferret,simsmall,gcc-pthreads,2,0m0.261s,0m0.346s,0m0.013s,13
228,ferret,simmedium,gcc-pthreads,2,0m0.787s,0m1.278s,0m0.041s,13
229,ferret,simlarge,gcc-pthreads,2,0m2.998s,0m6.274s,0m0.151s,13
230,ferret,native,gcc-pthreads,2,4m42.305,6m19.195,0m2.332s,13
231,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.030s,0m0.004s,14
232,ferret,simsmall,gcc-pthreads,2,0m0.264s,0m0.342s,0m0.023s,14
233,ferret,simmedium,gcc-pthreads,2,0m0.740s,0m1.204s,0m0.045s,14
234,ferret,simlarge,gcc-pthreads,2,0m2.909s,0m5.931s,0m0.122s,14
235,ferret,native,gcc-pthreads,2,4m56.011,6m31.410,0m2.518s,14
236,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.027s,0m0.005s,15
237,ferret,simsmall,gcc-pthreads,2,0m0.272s,0m0.358s,0m0.017s,15
238,ferret,simmedium,gcc-pthreads,2,0m0.727s,0m1.191s,0m0.051s,15
239,ferret,simlarge,gcc-pthreads,2,0m3.171s,0m6.521s,0m0.126s,15
240,ferret,native,gcc-pthreads,2,4m54.393,6m20.349,0m2.439s,15
241,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.029s,0m0.006s,16
242,ferret,simsmall,gcc-pthreads,2,0m0.265s,0m0.345s,0m0.018s,16
243,ferret,simmedium,gcc-pthreads,2,0m0.728s,0m1.181s,0m0.046s,16
244,ferret,simlarge,gcc-pthreads,2,0m2.988s,0m6.429s,0m0.099s,16
245,ferret,native,gcc-pthreads,2,4m45.350,6m22.956,0m1.713s,16
246,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.028s,0m0.006s,17
247,ferret,simsmall,gcc-pthreads,2,0m0.273s,0m0.359s,0m0.017s,17
248,ferret,simmedium,gcc-pthreads,2,0m0.722s,0m1.181s,0m0.038s,17
249,ferret,simlarge,gcc-pthreads,2,0m3.080s,0m6.361s,0m0.120s,17
250,ferret,native,gcc-pthreads,2,4m46.031,6m16.050,0m2.121s,17
251,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.029s,0m0.005s,18
252,ferret,simsmall,gcc-pthreads,2,0m0.261s,0m0.342s,0m0.015s,18
253,ferret,simmedium,gcc-pthreads,2,0m0.758s,0m1.226s,0m0.042s,18
254,ferret,simlarge,gcc-pthreads,2,0m2.885s,0m5.741s,0m0.126s,18
255,ferret,native,gcc-pthreads,2,4m50.992,6m25.848,0m2.617s,18
256,ferret,simdev,gcc-pthreads,2,0m0.021s,0m0.025s,0m0.007s,19
257,ferret,simsmall,gcc-pthreads,2,0m0.262s,0m0.344s,0m0.015s,19
258,ferret,simmedium,gcc-pthreads,2,0m0.791s,0m1.283s,0m0.050s,19
259,ferret,simlarge,gcc-pthreads,2,0m3.159s,0m6.529s,0m0.111s,19
260,ferret,native,gcc-pthreads,2,4m58.527,6m32.406,0m2.784s,19
261,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.030s,0m0.005s,20
262,ferret,simsmall,gcc-pthreads,2,0m0.271s,0m0.349s,0m0.018s,20
263,ferret,simmedium,gcc-pthreads,2,0m0.759s,0m1.202s,0m0.048s,20
264,ferret,simlarge,gcc-pthreads,2,0m2.875s,0m6.094s,0m0.120s,20
265,ferret,native,gcc-pthreads,2,4m56.200,6m31.325,0m2.582s,20
266,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.030s,0m0.004s,21
267,ferret,simsmall,gcc-pthreads,2,0m0.254s,0m0.330s,0m0.016s,21
268,ferret,simmedium,gcc-pthreads,2,0m0.719s,0m1.172s,0m0.037s,21
269,ferret,simlarge,gcc-pthreads,2,0m3.089s,0m6.101s,0m0.134s,21
270,ferret,native,gcc-pthreads,2,4m42.332,6m18.502,0m2.287s,21
271,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.028s,0m0.006s,22
272,ferret,simsmall,gcc-pthreads,2,0m0.261s,0m0.339s,0m0.020s,22
273,ferret,simmedium,gcc-pthreads,2,0m0.718s,0m1.146s,0m0.048s,22
274,ferret,simlarge,gcc-pthreads,2,0m3.102s,0m6.162s,0m0.125s,22
275,ferret,native,gcc-pthreads,2,4m58.550,6m27.963,0m2.581s,22
276,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.027s,0m0.006s,23
277,ferret,simsmall,gcc-pthreads,2,0m0.258s,0m0.337s,0m0.014s,23
278,ferret,simmedium,gcc-pthreads,2,0m0.755s,0m1.244s,0m0.045s,23
279,ferret,simlarge,gcc-pthreads,2,0m2.924s,0m6.252s,0m0.157s,23
280,ferret,native,gcc-pthreads,2,4m43.487,6m24.780,0m2.002s,23
281,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.029s,0m0.005s,24
282,ferret,simsmall,gcc-pthreads,2,0m0.253s,0m0.334s,0m0.012s,24
283,ferret,simmedium,gcc-pthreads,2,0m0.722s,0m1.201s,0m0.051s,24
284,ferret,simlarge,gcc-pthreads,2,0m3.079s,0m6.495s,0m0.127s,24
285,ferret,native,gcc-pthreads,2,4m55.463,6m33.060,0m2.816s,24
